feature,chi2_stat,anova_f,mw_u,score
PREDICT_original_phasef_phasecong_range_WL3_N5,0.5834109805571108,0.6627940004781286,0.09725206832340862,290.1666666666667
PREDICT_original_phasef_phasecong_max_WL3_N5,0.5834109805571108,0.6627940004781286,0.09725206832340862,290.1666666666667
PREDICT_original_tf_LBP_kurtosis_R15_P36,3.226666670725453,0.1538106047000654,0.13564283423574655,288.8333333333333
PREDICT_original_tf_GLCMMS_correlationd3.0A0.0std,0.026273422956102084,2.248416719228489,0.10180271742087,288.6666666666667
PREDICT_original_logf_max_sigma10,6.402980879062991,0.7220457926568891,0.6921834252240922,288.3333333333333
PREDICT_original_tf_Gabor_max_F0.2_A2.36,0.005198803099818582,1.2455596369476345,0.016682144135407216,288.0
PREDICT_original_phasef_phasecong_mean_WL3_N5,0.2358749360619792,0.720507029289868,0.04385657790742278,287.0
PREDICT_original_logf_peak_sigma5,0.6231774284421825,1.2934786296236807,0.23714848066730132,286.6666666666667
PREDICT_original_tf_Gabor_energy_F0.05_A1.57,0.39179941980997357,0.003170821066495236,0.0026181071661423565,286.6666666666667
PREDICT_original_tf_Gabor_quartile_range_F0.2_A0.79,0.04010756661824822,1.8921776981018192,0.0696625616114276,285.6666666666667
PREDICT_original_tf_Gabor_std_F0.05_A0.79,0.9105010213427341,1.054089771295618,0.21283069227436047,284.6666666666667
PREDICT_original_tf_GLCMMS_homogeneityd1.0A1.57std,0.22430502322960227,1.579924058730716,0.1237361676986966,283.5
PREDICT_original_tf_GLCM_homogeneityd3.0A0.79,0.22430502322960474,1.57992405873072,0.1237361676986966,282.8333333333333
PREDICT_original_tf_LBP_skewness_R3_P12,0.6842115165821934,1.193083107868943,0.19509533161907622,281.6666666666667
PREDICT_original_tf_Gabor_peak_position_F0.05_A0.79,2.9848451537694913,1.1885872888363045,0.5090155751354775,281.3333333333333
PREDICT_original_tf_Gabor_energy_F0.05_A0.79,0.24201525943834684,0.3326596956228079,0.006500145817705782,279.6666666666667
PREDICT_original_logf_range_sigma5,7.3449488201626565,0.8202234067868385,0.790412642010427,277.3333333333333
PREDICT_original_logf_max_sigma5,7.0450087981412555,0.85833190068003,0.7968164729350267,277.1666666666667
PREDICT_original_tf_GLCM_contrastd1.0A0.0,0.1539100016348628,2.393015994957497,0.13930812920974173,275.5
PREDICT_original_tf_Gabor_std_F0.5_A0.79,0.3301665805656376,1.2820123432883523,0.09893912545558553,275.3333333333333
PREDICT_original_tf_GLCMMS_contrastd1.0A0.0mean,0.15391000163486468,2.3930159949575005,0.13930812920974173,274.8333333333333
PREDICT_original_logf_kurtosis_sigma5,9.582499208499495,0.8701298061091185,0.8877175789905946,274.6666666666667
PREDICT_original_phasef_monogenic_energy_WL3_N5,2.1261385919403697,0.32976872213867386,0.08456932729706525,274.0
PREDICT_original_tf_GLCM_contrastd1.0A2.36,0.087013823606031,2.639605571434427,0.1237361676986966,273.6666666666667
PREDICT_original_tf_GLCMMS_contrastd1.0A0.79std,0.08701382360603147,2.639605571434427,0.1237361676986966,273.3333333333333
PREDICT_original_tf_LBP_mean_R3_P12,0.7597235232424512,1.4594526757919446,0.16375612931752492,271.0
PREDICT_original_logf_skewness_sigma5,0.36290783194650933,2.4738268830951333,0.17757686926335736,267.3333333333333
PREDICT_original_sf_convexity_avg_2.5D,2.6218550799289524,0.048716788233180444,0.018611894684200356,267.3333333333333
PREDICT_original_tf_Gabor_quartile_range_F0.5_A0.0,2.215897453009438,1.4714340025654669,0.2695184924377543,265.0
PREDICT_original_tf_GLCM_correlationd1.0A0.0,2.9371759501798342,1.485816270376637,0.349402527565302,264.0
PREDICT_original_tf_Gabor_min_F0.2_A0.79,0.6805888020639516,1.988594620405586,0.15412335328946897,260.3333333333333
PREDICT_original_tf_Gabor_max_F0.2_A0.0,0.46942533357875205,1.0809593354335945,0.05590388916489771,260.0
PREDICT_original_sf_roughness_std_2.5D,0.047182745188963045,1.0673744359122024,0.0026905869018903532,257.8333333333333
PREDICT_original_tf_GLCM_correlationd1.0A2.36,3.720225152414387,1.4804928411662497,0.390764829113328,257.1666666666667
